larsson_m. schuettler_r. 1
sa_a. sargsian_s. 1
black_b. haas_t. 1
larsson_m. sa_a. 1
larsson_m. black_b. 1
bjorkman_j. lapentti_n. 1
dewulf_f. ivanisevic_g. 1
escude_n. prinosil_d. 1
golmard_j. zabaleta_m. 1
grosjean_s. medvedev_a. 1
henman_t. martin_a. 1
hrbaty_d. safin_m. 1
kafelnikov_y. kulti_n. 1
kiefer_n. vacek_d. 1
norman_m. schalken_s. 1
novak_j. johansson_t. 1
pioline_c. voinea_a. 1
rusedski_g. kucera_k. 1
santoro_f. alami_k. 1
siemerink_j. enqvist_t. 1
wessels_p. pavel_a. 1
golmard_j. siemerink_j. 1
henman_t. santoro_f. 1
hrbaty_d. bjorkman_j. 1
kafelnikov_y. escude_n. 1
kiefer_n. novak_j. 1
norman_m. wessels_p. 1
pioline_c. grosjean_s. 1
rusedski_g. dewulf_f. 1
golmard_j. norman_m. 1
henman_t. hrbaty_d. 1
kafelnikov_y. rusedski_g. 1
pioline_c. kiefer_n. 1
henman_t. kafelnikov_y. 1
pioline_c. golmard_j. 1
pioline_c. henman_t. 1
arazi_h. gambill_j.m. 1
enqvist_t. voinea_a. 1
federer_r. kiefer_n. 1
golmard_j. ferrero_j.c. 1
hrbaty_d. pavel_a. 1
ivanisevic_g. black_w. 1
kafelnikov_y. medvedev_a. 1
kucera_k. novak_j. 1
pioline_c. martin_a. 1
rosset_m. ljubicic_i. 1
rusedski_g. clement_a. 1
santoro_f. safin_m. 1
saulnier_c. schuettler_r. 1
tarango_j. bjorkman_j. 1
vacek_d. johansson_t. 1
zabaleta_m. henman_t. 1
enqvist_t. kucera_k. 1
federer_r. ivanisevic_g. 1
kafelnikov_y. vacek_d. 1
pioline_c. tarango_j. 1
rosset_m. hrbaty_d. 1
rusedski_g. golmard_j. 1
santoro_f. arazi_h. 1
zabaleta_m. saulnier_c. 1
enqvist_t. pioline_c. 1
kafelnikov_y. santoro_f. 1
rosset_m. federer_r. 1
rusedski_g. zabaleta_m. 1
kafelnikov_y. rusedski_g. 1
rosset_m. enqvist_t. 1
rosset_m. kafelnikov_y. 1
agenor_r. diaz_j. 1
canas_g. massu_n. 1
chela_j.i. black_b. 1
fromberg_r. sa_a. 1
gaudio_g. clavet_f. 1
gumy_h. dupuis_a. 1
hantschk_m. marin_j.a. 1
hernandez_a. tieleman_l. 1
koubek_s. portas_a. 1
kuerten_g. etlis_g. 1
lapentti_n. ulihrach_b. 1
meligeni_f. bruguera_s. 1
puerta_m. vicente_f. 1
sargsian_s. viloca_j.a. 1
squillari_f. blanco_g. 1
stanoytchev_o. di_pasquale_a. 1
canas_g. meligeni_f. 1
chela_j.i. kuerten_g. 1
gaudio_g. hernandez_a. 1
hantschk_m. stanoytchev_o. 1
koubek_s. fromberg_r. 1
lapentti_n. sargsian_s. 1
puerta_m. gumy_h. 1
squillari_f. agenor_r. 1
chela_j.i. hantschk_m. 1
koubek_s. gaudio_g. 1
puerta_m. canas_g. 1
squillari_f. lapentti_n. 1
chela_j.i. koubek_s. 1
puerta_m. squillari_f. 1
chela_j.i. puerta_m. 1
bastl_g. tillstrom_m. 1
behrend_t. rosset_m. 1
bjorkman_j. dupuis_a. 1
damm_m. pless_k. 1
federer_r. dewulf_f. 1
heuberger_i. delgado_j. 1
ivanisevic_g. prinosil_d. 1
jonsson_f. pretzsch_a. 1
